series_description,frequency,cleaned_series_names,comment,,,,Index
DynamicStress_SAX_b2s_MOCO,4,,,,,,
flow_venc-scout_100-190tp_bh@c_P,4,,,,,,
nav_tse_15_db_t2,4,,,,,,
tfi_single-shot_3_CH+doorademen,4,,,,,,
DynamicStress_SAX_b3s,4,,,,,,
Dynamic_Stress_4Ch_MOCO,4,,,,,,
T1_DB_SAX,4,,,,,,
Line-Tag_Cine_dist_90_graden_User2,4,,,,,,
LGE_SS_SAX_PSIR,4,LGE_SAX,,,,,
tirm_15_db_t2_k_a,4,,,,,,
tfl_sr_dyn_160_4sl_(50_MEASUREMENTS),4,,,,,,
TI_300ms_4Ch,4,,,,,,
tfl2d_25_2_cycles_4CV_TI550_MAG,4,,,,,,
LookLocker,4,,,,,,
Dynamic_Rest_SAX_b4s,4,,,,,,
4CH__HE3,4,,,,,,
VIAB.4CH,4,,,,,,
tfl_sr_dyn_160_3_stacks+CONTRAST,4,,,,,,
tfi65_t1_3D_iPAT_2_slabs_3_ch_BH,4,,,,,,
___________VIABILITY25,4,,,,,,
DynamicStress_2Ch,4,,,,,,
B-TFE-SVC-SAG,4,,,,,,
fl3d-sag_precontrast_ANGIO,4,,,,,,
Dynamic_Rest_SAX_b1s,4,,,,,,
DynamicTest_SAX_b2s,4,,,,,,
trufi3D_sag_p2_nav_FOV_500,4,,,,,,
2chamber_axis_delayed_PSIR,4,LGE_2CH,,,,,
T1Map_ShortT1__MID__post_ctr_SAX_b2s_MOCO,4,,,,,,
haste__db_2bh_iPAT_SPAIR,4,,,,,,
QFLOW_BH,4,,,,,,
QF_SVC-100,4,,,,,,
DE_overview_4Ch_2Ch_SAX_3Ch_MAG,4,LGE_SAX_LAX,,,,,
DefineLAX_na_2Ch_4Ch_3Ch,4,,,,,,
tfl_first-pass_3sl__lange_as,4,,,,,,
tfl_sr_dyn_160_4sl_Perf_test_MOCO_FILT,4,,,,,,
DynamicRest_SAX_b2s_MOCO,4,,,,,,
BTFE_3CH,4,,,,,,
T1Map_ShortT1__MID__post_ctr_SAX_b2s_MOCO_T1,4,,,,,,
MPR,4,,,,,,
DynamicRest_SAX_b2s,4,,,,,,
tf2d15_cine_aortaboog,4,,,,,,
DynamicRest_SAX_b3s,4,,,,,,
lge_single_shot_korte_as_psir_2_PSIR,4,LGE_SAX,,,,,
FALLOT_PROT2CH_SSMP,4,,,,,,
SA_T2fatsat_BB,4,,,,,,
lge_single_shot_korte_as_psir_2_MAG,4,LGE_SAX,,,,,
AMC_HART___PDw_BB,4,,,,,,
tfi3D_nav_sag_selective_SCOUT,4,,,,,,
DynamicRest_SAX_b3s_MOCO,4,,,,,,
tfl2d_25_t1_2cycles_ms_sa,4,,,,,,
tse_db_t2_SPAIR_te_140_ms,4,,,,,,
Perfusion__VIAB_set_inv,4,,,,,,
Dynamic_Rest_SAX_b5s,4,,,,,,
DynamicRest_2Ch_MOCO,4,,,,,,
BB_TSE_HR_S,4,,,,,,
fl3d-sag_postctr_ANGIO,4,,,,,,
fl4_250-flow-arteria_pulm-_P,4,,,,,,
DE_overview_3Ch_4Ch_SAX_MAG,4,LGE_SAX_LAX,,,,,
tfl2d_25_t1_2cycles_3ch,4,,,,,,
ARVD_______VIABILITY300,4,,,,,,
Dynamic_Stress_SAX_b4s_MOCO,4,,,,,,
DYN_1PASS_Pre,4,,,,,,
tfl2d_25_t1-2ch-DHE(BREATH-HELD),4,,,,,,
cine_(_1_slice),4,,,,,,
Dynamic_Rest_SAX_b1s_MOCO,4,,,,,,
DynamicStress_SAX_b2s,4,,,,,,
FLASH_IN_FASE_3ch_cine_metaalartefacten,4,,,,,,
cine_2_kmr_LAX,4,,,,,,
DynamicTest_SAX_b1s,4,,,,,,
FALLOT_PROTQFLOW_TRICUS,4,,,,,,
DynamicTest_2Ch,4,,,,,,
DynamicTest_SAX_b3s,4,,,,,,
tf2d_rt_1slice_NonTrig-2,4,,,,,,
haste__COR_db_2bh_iPAT-cor,4,,,,,,
PERF_RUST,4,,,,,,
DE_overview_3Ch_SAX_4Ch_2Ch_PSIR,4,LGE_SAX_LAX,,,,,
HEBE_______sPERFUSION,4,,,,,,
IR_3CH_BH370_CLEAR,4,,,,,,
"ep2d_diff_b0,b50_hart_nieuw_ADC",4,,,,,,
fl4_250-flow-arteria_pulm-,4,,,,,,
3DVIABILIDAD_SENSE,4,,,,,,
DYN_1PASS_POST,4,,,,,,
DynamicStress_SAX_b3s_MOCO,4,,,,,,
Dynamic_Rest_SAX_b4s_MOCO,4,,,,,,
2chamber_axis_delayed_MAG,4,LGE_2CH,,,,,
sDIX_AORTA_OP,3,,,,,,
d_25_t1_2cycles_2cv_285,3,,,,,,
Trufi_Cine_3ch_RE_User1,3,,,,,,
tfl_sr_dyn_192_4sl_HIGH_RES.RUST,3,,,,,,
3kamer-cine_ecg_exp_tfi,3,,,,,,
tfl25_t1_psir_2ch_MAG,3,LGE_2CH,,,,,
Dynamic_Pefusie__Test_SAX_b1s,3,,,,,,
T1_enhanced,3,,,,,,
FALLOT_PROTQFLOW_pa,3,,,,,,
B-TFE_4CH_SENSE,3,,,,,,
vsd-aorta,3,,,,,,
Dynamic_Stress_SAX_b5s_MOCO,3,,,,,,
DE_4kamer_ecg_exp_PSIR,3,LGE_4CH,,,,,
3-pl_Loc_Fiesta,3,,X,,,,
VIABIL._4CH,3,,,,,,
tfi_single-shot_8sl_iPAT-3CH,3,,,,,,
tfi_single-shot_sa_MAG,3,LGE_SAX,,,,,
T1Map_1_SLICE_MID__pre_REGADENOSON_SAX_b2s,3,,,,,,
DE_overview_2Ch_MAG,3,LGE_2CH,,,,,
tfi_single-shot_(SA)_260,3,,,,,,
tfl25_t1_psir_2ch_PSIR,3,LGE_2CH,,,,,
BTFE-4CH_Lt,3,,,,,,
LGE_seg_2_kmr_LAX_MAG,3,LGE_LAX,,,,,
tfi_single-shot_(2CHV)_250,3,,,,,,
PERF_TEST,3,,,,,,
LE_SA_PSIR_ipat_NIEUW_PSIR,3,LGE_SAX,,,,,
Dynamic_Perfusie__Test_doorademen_SAX_b3s_MOCO,3,,,,,,
Dynamic_Rest_4Ch_MOCO,3,,,,,,
DE_High-Res_User1_MAG,3,LGE_SAX,,,,,
T2_SPAIR_BB_SAX,3,,,,,,
fl3d_nav_fs_bh,3,,,,,,
4kamer-cine_ecg_exp_tfi,3,,,,,,
T2_TSE_BB,3,,,,,,
FLASH-CINE,3,,,,,,
BTFE__2CH_LT,3,,,,,,
T1W_BB,3,,,,,,
BTFE_lpa,3,,,,,,
___________Q_FLOW_AORT,3,,,,,,
Dynamic_Rest_4Ch,3,,,,,,
DE_High-Res_User1_PSIR,3,LGE_SAX,,,,,
s3D_IR-TFE_BH_10sl,3,,,,,,
DE_overview_LE_LAX_2Ch_4Ch_3Ch_MAG,3,LGE_LAX,,,,,
tfi65_psir_4sl-2bh-4ch_sat_slab_over_myelum_PSIR,3,,,,,,
"Flash_Cine_in_fase_4ch__BW_400_TE_4,76_4Ch_InlineVF",3,,,,,,
FS_T2TSE_LAX_3Ch_2Ch_4Ch,3,,,,,,
BH_Cine_aok,3,,,,,,
sDIX_AORTA_F,3,,,,,,
tfl2d_25_t1_2cycles_2cv,3,,,,,,
DE_High-Res_1sl_SAX_PSIR,3,LGE_SAX,,,,,
TRUFI_PSIR_SA_MAG,3,LGE_SAX,,,,,
DE_overview_LE_LAX_2Ch_4Ch_3Ch_PSIR,3,LGE_LAX,,,,,
Perfusion_3slices,3,,,,,,
Dynamic_Pefusie__Test_SAX_b3s_MOCO,3,,,,,,
LA_1_SLICE,3,,,,,,
tfi65_psir_4sl-2bh-4ch_sat_slab_over_myelum_MAG,3,LGE_4CH,,,,,
RVOT-cine_ecg_exp_tfi,3,,,,,,
Trufi_Cine_prospectief_SAX,3,,,,,,
VIABIL._LA,3,,,,,,
tf2d15_retro_iPAT-3chv-25p,3,,,,,,
cine_tf2d22_4slices_ka,3,,,,,,
RV-2kamer-cine_ecg_exp_tfi,3,,,,,,
fl4_300_flow_aorta_P,3,,,,,,
BTFE_2CH-LT,3,,,,,,
DE_High-Res_1sl_SAX_MAG,3,LGE_SAX,,,,,
VIAB_PSIR_4CH,3,LGE_4CH,,,,,
T1_FS_KORTE_AS,3,,,,,,
tf2d_rt_1slice_3CH_RECHTS_CINE,3,,,,,,
tf2d_rt_1slice_NonTrig_real_time,3,,,,,,
early_enhancement_2-cycle_PSIR,3,LGE_SAX,,,,,
2kamer-cine_ecg_exp_tfi,3,,,,,,
csBFFE_RLT_HR,3,,,,,,
DE_4kamer_ecg_exp_MAG,3,LGE_4CH,,,,,
ARVD_______AX_CINE_MSMP,3,,,,,,
TSE-BB-SA-NA_CONTRAST,3,,,,,,
PD_TSE_BB,3,,,,,,
TrueSSFP_Co,3,,,,,,
tfl2d_25_t1_2cycles_2ch,3,,,,,,
fl4_300_flow_aorta,3,,,,,,
CINE_SAX,3,SAX,,,,,
DE_3kamer_ecg_exp_PSIR,3,LGE_3CH,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-,3,,,,,,
PERF_TEST_(KOPIEREN),3,,,,,,
tfi65_t1_3D_iPAT_3_slabs_SA_BH,3,,,,,,
BB_SSH_BH,3,,,,,,
DE_overview_2Ch_SAX_3Ch_4Ch_MAG,3,LGE_SAX_LAX,,,,,
T1Map_LAX_3Ch_4Ch_2Ch_MOCO_T1,3,,,,,,
tfl2d_25_t1_2cycles_4ch,3,,,,,,
Dynamic_Pefusie__Test_SAX_b2s,3,,,,,,
tfi65_t1_3D_iPAT__2_slabs_4_ch,3,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-2,3,,,,,,
SURVEY_transversaal,3,,,,,,
MIP_HF,3,,,,,,
T1Map_1_SLICE_MID__pre_REGADENOSON_SAX_b2s_MOCO_T1,3,,,,,,
NIERARTERIE_BOLUS-TEST-TRA,3,,,,,,
fl4_200-flow-arteria_pulm-_P,3,,,,,,
fl4_150_flow-asc-aorta_P,3,,,,,,
DE_overview_2Ch_PSIR,3,LGE_2CH,,,,,
DE_overview_4Ch_SAX_3Ch_2Ch_MAG,3,LGE_SAX_LAX,,,,,
PERF_STRESS,3,,,,,,
Trufi_Cine_2ch_2Ch,3,,,,,,
FLASH_sa_CINE,3,,,,,,
VIAB.LA,3,,,,,,
INTERActive__HE3,3,,,,,,
Dynamic_Perfusie__Test_doorademen_SAX_b1s_MOCO,3,,,,,,
tfl2d_25_t1-2ch-_DHE(BREATH-HELD)-2ch,3,,,,,,
TRUFI_PSIR_SA_PSIR,3,LGE_SAX,,,,,
FALLOT_PROTPDw_BB_TRA,3,,,,,,
Dynamic_Pefusie__Test_SAX_b2s_MOCO,3,,,,,,
localiser_multi_eventueelt-exp_tfi,3,,,,,,
4CH_MSMP,3,,,,,,
AMC_HART___BTFE_4ch,3,,,,,,
tfl2d_25_t1_2cycles_4CH,3,,,,,,
perfusie_5sl_CS,3,,,,,,
localiser_2_kamer_ecg_exp_tfi,3,,,,,,
tfi_single-shot_8sl_iPAT-2CH,3,,,,,,
B-TFE_BH_M2D,3,,,,,,
tfl2d_25_t1_DHE_3CHV,3,,,,,,
tf2d_rt_REAL_TIME_1_LAX__doorademen_zonder_trigger_4Ch,3,,,,,,
tfi_single-shot_3,3,,,,,,
tfi65_t1_3D_iPAT__2_slabs_2_ch_BH,3,,,,,,
tf2d15_retro_pulmonalis,3,,,,,,
tfl_psir_4C_800TI_PSIR,3,LGE_4CH,,,,,
LVOT_1_SL.,3,,,,,,
___________2CH_LV_CLEA,3,,,,,,
Dynamic_Pefusie__Test_SAX_b3s,3,,,,,,
MPR_TRA_3MM,3,,,,,,
tfl2d_25_t1_2cycles_3CH,3,,,,,,
SA_12_SLICES,3,,,,,,
AMC_HART___T1_BBMAT,3,,,,,,
BTFE_AO-COR,3,,,,,,
tfi65_t1_3D_iPAT__2_slabs_4_ch_BH,3,,,,,,
DE_overview_2Ch_SAX_3Ch_4Ch_PSIR,3,LGE_SAX_LAX,,,,,
3CH_SSMP_SENSE,3,,,,,,
___________SA_MSMP_SEN,3,,,,,,
Gre_Cine_LAX_2ch,3,,,,,,
tfi_single-shot_2,3,,,,,,
sBTFE_3ch_re,3,,,,,,
sDIX_AORTA_W,3,,,,,,
Cine_Lvot,3,,,,,,
CINE_4CH,3,4CH,,,,,
AX_CINE_MSMP,3,,,,,,
tf2d15_retro_iPAT-AOV-SA,3,,,,,,
tf2d15_retro_aorta,3,,,,,,
LA__HE3,3,,,,,,
2CH,3,,,,,,
tf2d_rt_REAL_TIME_1_LAX__doorademen_zonder_trigger_3Ch,3,,,,,,
DYN_BFFE_offset,3,,,,,,
localiser_korte_assen_ecg_exp_tfi,3,,,,,,
tse_17_db_t2_FS-,3,,,,,,
tfi_single-shot_3CH_doorademen,3,,,,,,
Cine_RVOT,3,,,,,,
CINE_2CH,3,2CH,,,,,
Dynamic_Perfusie__Test_doorademen_SAX_b3s,3,,,,,,
fl4_150_flow-asc-aorta,3,,,,,,
tf2d_rt_REAL_TIME_1_LAX__doorademen_zonder_trigger_2Ch,3,,,,,,
RV-STUDY-IGOR_HASTE-TRANS-,3,,,,,,
LGE_seg_2_kmr_LAX_PSIR,3,LGE_2CH,,,,,
___________TRA_HR_FS_C,3,,,,,,
tfi_single-shot_sa_PSIR,3,,,,,,
CINE_3CH,3,3CH,,,,,
DE_overview_LE_LAX_3Ch_2Ch_4Ch_MAG,3,LGE_LAX,,,,,
4CH_1_SLICE,3,,,,,,
Perfusion__VIAB275,3,,,,,,
IR_TFE_2CH,3,,,,,,
tfi3D_nav_sag_selective,3,,,,,,
tf2d_LA_Stress_Level3,3,,,,,,
T1Map_LAX_3Ch_4Ch_2Ch,3,,,,,,
cine_4_kmr_LAX,3,,,,,,
Dynamic_Perfusie__Test_doorademen_SAX_b1s,3,,,,,,
DE_overview_LE_LAX_3Ch_2Ch_4Ch_PSIR,3,LGE_LAX,,,,,
t1_db_4-kamer_trig2,3,,,,,,
PERFUSIE_8_mm_slices,3,,,,,,
T1Map_LAX_3Ch_4Ch_2Ch_MOCO,3,,,,,,
T1_aTSE_BB,3,,,,,,
VIABIL._SA,3,,,,,,
cine_retro-triggered_LAX,3,LAX,,,,,
fl4_200-flow-arteria_pulm-,3,,,,,,
2CH_SSMP,3,,,,,,
tfl2d_25_t1_DHE_2CHV,3,,,,,,
T1Map_1_SLICE_MID__pre_REGADENOSON_SAX_b2s_MOCO,3,,,,,,
Dynamic_Perfusie__Test_doorademen_SAX_b2s_MOCO,3,,,,,,
NIERARTERIE_MRA-COR,3,,,,,,
Dynamic_Pefusie__Test_SAX_b1s_MOCO,3,,,,,,
2D_Delayed_260,3,LGE_SAX,,,,,
tf2d15_retro_iPAT-3ch-50ph,3,,,,,,
early_enhancement_2-cycle_MAG,3,LGE_SAX,,,,,
TRUFI_3CHV-CINE_re,3,,,,,,
trufi_COR_GROTE_VATEN,3,,,,,,
tf2d15_retro_iPAT-12ph,3,,,,,,
MIP_FH,3,,,,,,
DE_overview_4Ch_SAX_3Ch_2Ch_PSIR,3,LGE_SAX_LAX,,,,,
tf2d_SA_Stress_Level3,3,,,,,,
BTFE-_PA-SAG,3,,,,,,
DE_3kamer_ecg_exp_MAG,3,LGE_3CH,,,,,
tf2d_rt_1slice_NonTrig_aow,3,,,,,,
Dynamic_Perfusie__Test_doorademen_SAX_b2s,3,,,,,,
tfl25_t1_segmented_iPAT_4ch,3,,,,,,
sDIX_AORTA_IP,3,,,,,,
T2WbbSTIR_SA,3,,,,,,
FALLOT_PROT2D_bolustrak,3,,,,,,
tfl_psir_4C_800TI_MAG,3,,,,,,
s3D_PSIR-TFE_BH_SA,2,,,,,,
Dynamic_Rust_Perfusie_doorademen_4Ch,2,,,,,,
sBTFE-BH_2KLI,2,,,,,,
DE_high-res_tfl13_seg_iPAT_MAG_hbw,2,LGE_SAX,,,,,
two_chamber_delayed_PSIR,2,LGE_2CH,,,,,
fl4_100_flow_tricusp_P,2,,,,,,
mip_PA_fh,2,,,,,,
lge_seg_sax_2Ch_PSIR,2,LGE_SAX,,,,,
Vessel-Scout_STDDEV_SAG,2,,,,,,
CINE_2_CHAMBER,2,,,,,,
tfi_single-shot_(4CHV)_250,2,,,,,,
short_axis_cine_1_SL,2,,,,,,
tf2d15_retro_pa,2,,,,,,
Trufi_Cine_LAX_4ch_4ChStack,2,,,,,,
flow_150_tp_retro_bh_ePAT@c_AORTA_P,2,,,,,,
tfl2d_25_2_cycles_SA_TI550_PSIR,2,LGE_SAX,,,,,
tfi_single-shot_sa_doorademen,2,,,,,,
tf25_t1_rephased_300,2,,,,,,
cine_3_kmr_LAX,2,,,,,,
3Plane_Loc_FIESTA,2,,X,,,,
Late_Enh._lange_as,2,,,,,,
FLOW_venc150_through_plane_Aorta,2,,,,,,
VELOCITY_ENCODING_Venc_afh._van_scout,2,,,,,,
DE_seg_high-res_SAX_MAG,2,LGE_SAX,,,,,
75.00%,2,,,,,,
sWIP_T1_native_map,2,,,,,,
tfl20_t1_late_enh_rvot_MAG,2,,,,,,
Perfusion__VIAB_275,2,,,,,,
DE_High-Res_LAX_2ch_2Ch_PSIR,2,LGE_LAX,,,,,
lge_single-shot_korte_assen_PSIR,2,LGE_SAX,,,,,
TRA_15_SL.,2,,,,,,
tfi_single-shot_(MET_'SCAN')_3CH,2,,,,,,
QF_Pulm-250,2,,,,,,
Direct_Thrombus_Imaging,2,,,,,,
FLOW_tp_retro_bh_@c_P,2,,X,,,,
t1_db_2-kamer_trig2,2,,,,,,
PSIR_TFE_BH_2CH,2,LGE_2CH,,,,,
fl4_100_flow_tricusp,2,,,,,,
RV-STUDY-IGOR_wortel-cine,2,,,,,,
lge_seg_3_kmr_MAG,2,LGE_3CH,,,,,
tfl2d_25_2_cycles_SAx-_hoog_TI_PSIR,2,LGE_SAX,,,,,
PSIR_TFE_BH_SA_TI_300,2,LGE_SAX,,,,,
IR_SA_4CH300_CLEAR,2,,,,,,
DE_seg_high-res_SAXs_MAG,2,LGE_SAX,,,,,
DE_High-Res_4ch_4Ch_PSIR,2,LGE_4CH,,,,,
QF_rpa-150,2,,,,,,
DE_High-Res_LAX_4Ch_MAG,2,LGE_LAX,,,,,
___________AX_T1_BB_SE,2,,,,,,
tf2d15_4CH_CINE,2,,,,,,
tfi_single-shot_(3CHV)_doorademen_250,2,,,,,,
T1_BB_sag__8mm,2,,,,,,
sBTFE_BH_2CH_LI_SENSE,2,,,,,,
tfi_psir_single-shot_MAG,2,,,,,,
cine_2_kamer,2,,,,,,
BB_TSE_HR_SAG,2,,,,,,
FALLOT_PROTQFLOW_ao,2,,,,,,
sBTFE_M2D_Tra,2,,,,,,
Axial,2,,,,,,
CINE_3_CHAMBER,2,,,,,,
FS_T2TSE_bodycoil_SAX,2,,,,,,
Dynamic_STRESS-doorademen_SAX_b3s,2,,,,,,
DE_overview_4Ch_3Ch_2Ch_SAX_PSIR,2,LGE_SAX_LAX,,,,,
trufi_loc_korte_assen_bh,2,,,,,,
HEBE_______SURVEY,2,,,,,,
sWIP_T1_native_raw,2,,,,,,
CINE_SHORT_AXES,2,,,,,,
TRUFI_2CHV_CINE_rechts,2,,,,,,
FALLOT_PROTQFLOW_TRIC,2,,,,,,
cine_2_kmr,2,,,,,,
sBTFE_BH_SA_contrast,2,,,,,,
CINE_segmented_SAX_b10_InlineVF,2,,,,,,
tirm_15_db_t2_7mm_3CV,2,,,,,,
mDixon_LGE,2,,,,,,
tfl2d_25_2_cycles_SA_TI550_MAG,2,LGE_SAX,,,,,
tf2d16_radial_dist_des_ao,2,L,,,,,
tf2d_rt_2ch_NonTrig,2,,,,,,
BTFE-PA-COR,2,,,,,,
RT_2_CHAMBER_VIEW,2,,,,,,
flash_aorta_retrospective,2,,X,,,,
lge_seg_2_kmr_MAG,2,LGE_SAX,,,,,
Cor_aorta_cine,2,,,,,,
four_chamber_delayed_MAG,2,LGE_4CH,,,,,
T1_TSE_256_12s_SA_Ima_8,2,,,,,,
cine_3_kmr,2,,,,,,
mip_PA_rl,2,,,,,,
2D_SAX_VIABILITY_8mm,2,,,,,,
tf2d15_retro_2kamer,2,,,,,,
Trufi_Cine_prospectief_SAX_b13,2,,,,,,
LCE_3_CHAMBER,2,,,,,,
___________MIP_3D_ANGI,2,,,,,,
tirm_15_db_t2_7mm_4CV,2,,,,,,
trufi_3kamer_cine_iP_bh,2,,,,,,
tfi_single-shot_(MET_'SCAN')_sa,2,,,,,,
AMC_HART___QFLOW_aorta,2,,,,,,
sBTFE_RVOT,2,,,,,,
MRA_LONGVENMIP_3D_angio,2,,,,,,
trufi_loc_multi_iP_bh,2,,,,,,
tfi_single-shot_(4CHV)_doorademen_210,2,,,,,,
EJECT_FR_1__HE3,2,,,,,,
trufi_loc_2_kamer_iP_bh,2,,,,,,
Abdomen_routine_t1_fl2d_tr,2,,,,,,
sdixon_in_phase,2,,,,,,
T2__SPAIR_3CH_BORE,2,,,,,,
sBTFE_Lange_as,2,,,,,,
4chamber_axis_delayed_ecg_exp_PSIR,2,LGE_4CH,,,,,
fl4_100-flow-ao-vsd,2,,,,,,
TI-Scout_10_MIN,2,,,,,,
T2_TSE_FS_256_4chv,2,,,,,,
sa,2,,,,,,
localiser_cor_exp_tfi,2,,,,,,
tfi_single-shot_(SA)_215,2,,,,,,
T2_TSE_FS_256_2chv,2,,,,,,
localiser_tra_exp_tfi,2,,,,,,
three_chamber_delayed_MAG,2,LGE_3CH,,,,,
s3D_PSIR-4CH_SENSE,2,LGE_4ch,,,,,
fl4_150_flow-aorta_P,2,,,,,,
T1Map_6_SLICES__dist_fact_aanpassen_User1,2,,,,,,
tf2d15_cine_sax-kamer,2,,,,,,
flash_aorta_retrospective_P,2,,X,,,,
VIAB_SA_3D__HE3,2,,,,,,
Heart_function_cine_tr50_1,2,,,,,,
tf2d15_retro-triggered_2CV-_extra,2,,,,,,
DE_overview_2Ch_4Ch_3Ch_PSIR,2,LGE_LAX,,,,,
DE_high-res_tfl20_psir_seg_PSIR,2,LGE_SAX,,,,,
tfi_single-shot__sa,2,,,,,,
DE_High-Res_LAX_2ch_2Ch_MAG,2,LGE_2CH,,,,,
TRUFI_2CHV-CINE,2,,,,,,
DE_seg_high-res_LAX_3Ch_2Ch_4Ch_PSIR,2,LGE_LAX,,,,,
QF_PV_BUFFLE-75,2,,,,,,
hart-Groenink_SCOUT_TRA_TU,2,,,,,,
CINE_segmented_SAX_b12,2,,,,,,
Map_ShortT1_6_SLICES__overnemen_met_meas_par._blanco_T1_map_MOCO,2,,,,,,
TRUFI_3chv_CINE,2,,,,,,
DE_high-res_tfl20_psir_seg_3CH_MAG,2,LGE_3CH,,,,,
TRUFI_3CHV-CINE_trigger,2,,,,,,
tfi_single-shot_(_MAG,2,,,,,,
ARVD_______SURVEY,2,,,,,,
SSh2D_Viability_4CH_BH,2,,,,,,
tirm_15_db_3ch,2,,,,,,
FALLOT_PROT2CH_RV_SSMP,2,,,,,,
VIAB_LA_3D__HE3,2,,,,,,
sBTFE_M2D_korte_as,2,,,,,,
SWI_Images,2,,,,,,
fl4_100-flow-ao-vsd_P,2,,,,,,
TRUFI_3HV_CINE,2,,,,,,
AMC_HART___QFLOW_BH,2,,,,,,
Perfusion__VIAB_310_SA,2,,,,,,
AX_CINE_MSM,2,,,,,,
Heart_function_cine_tr40_1,2,,,,,,
csBTFE_MS_SSh,2,,,,,,
tf2d15_cine_5-kamer,2,,,,,,
tfi_single-shot_2chdoorademen,2,,,,,,
tfl20_t1_psir_segmented_2_kmr_PSIR,2,LGE_2CH,,,,,
lge_seg_3_kmr_PSIR,2,LGE_3CH,,,,,
IR_TFE_LL_2_beat,2,,,,,,
lge_seg_2_kmr_PSIR,2,LGE_2CH,,,,,
LL_F8_TD120__HE3,2,,,,,,
SURVEY_CARDIAAL,2,,,,,,
TRUFI_2CHV_CINE_trigger,2,,,,,,
CE-MRA(Swirl),2,,,,,,
Dynamic_STRESS-doorademen_SAX_b3s_MOCO,2,,,,,,
tfl2d_25_t1_2_CH,2,,,,,,
tfl2d_25_t1_DHE(Breath_HOLD)-4ch,2,,,,,,
Localiser_3pl_Exp,2,,,,,,
tfi_single-shot_SA_doorademen_PSIR,2,LGE_SAX,,,,,
DE_High-Res_2ch_MAG,2,LGE_2CH,,,,,
ARVD_______VIABILITY325,2,,,,,,
T2Star_BH,2,,,,,,
Direct_Thrombus_Imaging_ND,2,,,,,,
T2_TSE_FS_256_3chv,2,,,,,,
Dynamic_STRESS-doorademen_SAX_b1s,2,,,,,,
T1_BB_tra_8mm,2,,,,,,
Perfusion__sPERFUSION,2,,,,,,
tfi_single-shot_doorademen_SA,2,LGE_SAX,,,,,
tfi_single-shot_(4,2,,,,,,
ShMOLLI_natief_4kamer,2,,,,,,
T2_STIR_BB_CLEAR,2,,,,,,
t1_db_3-kamer_trig2,2,,,,,,
LGE_seg_4_kmr_LAX_MAG,2,LGE_4CH,,,,,
tfl25_t1_psir_3ch_PSIR,2,LGE_3CH,,,,,
DE_High-Res_LAX_TI_400_User1_PSIR,2,LGE_LAX,,,,,
DE_high-res_tfl20_psir_seg_3CH_PSIR,2,LGE_3CH,,,,,
tf2d_rt_4ch_NonTrig,2,,,,,,
tfl2d_25_2_cycles_2CV_TI550_MAG,2,LGE_SAX,,,,,
Dynamic_Pefusie__Test_4Ch,2,,,,,,
TI-BEPALING,2,,,,,,
trufi_2kamer_cine_iP_bh,2,,,,,,
VIAB_4CH_3D__HE3,2,,,,,,
DE_High-Res_LAX_4Ch_PSIR,2,LGE_4CH,,,,,
tfi_single-shot_4chdoorademen,2,,,,,,
tfi_psir_single-shot_1slC_4_kmr_PSIR,2,LGE_4CH,,,,,
tse_11_db_t1_iPAT-SA(12SL)_image_6,2,,,,,,
sBTFE_SA_gate,2,,,,,,
T2_STIR_BB__SA_4slices,2,,,,,,
IR_TFE_2CH_LT,2,,,,,,
CV_molli_PF6_8_PAT2_TImin100,2,,,,,,
Trufi_Cineprospectief_SAX_b1,2,,,,,,
TRUFI_4CHV-CINE,2,,,,,,
tirm_15_db_t2_7mm_2CV,2,,,,,,
Kt_DYN_BTFE,2,,,,,,
Dynamic_Pefusie__Test_4Ch_MOCO,2,,,,,,
T2__SPAIR_3CH_body,2,,,,,,
DE_overview_2Ch_4Ch_3Ch_MAG,2,LGE_LAX,,,,,
AX_FIESTA,2,,,,,,
AMC_HART___BTFE_sa,2,,,,,,
fl2d7_retro_radial-AOV-SA,2,,,,,,
tse_17_db_t2_FS-SA,2,,,,,,
PERF_stress,2,,,,,,
SAX_CINE_IR_TI_SCOUT,2,,,,,,
sBTFE_SA,2,,,,,,
Dynamic_Pefusie__Test_3Ch,2,,,,,,
T2__SPAIR_4CH_BORE,2,,,,,,
cine_tf2d18_retro_iPAT_arryth,2,,,,,,
FIESTA-4chamber,2,,,,,,
DE_2kamer_ecg_exp_MAG,2,LGE_2CH,,,,,
TI-BEPALING_APP,2,,,,,,
tf2d_rt_4CH.,2,,,,,,
tfi65_t1_3D_iPAT_2_slabs_3_ch,2,,,,,,
RT_V_OUTFLOW,2,,,,,,
SSh2D_Viability_2CH_BH,2,,,,,,
fl4_150_flow-aorta,2,,,,,,
T2_TSE_FS_256_1_SA,2,,,,,,
DE_overview_LAX_4Ch_2Ch_3Ch_PSIR,2,LGE_LAX,,,,,
tf2d16_radial_dist_asc_ao,2,,,,,,
cine_crypte,2,,,,,,
___________VIABILITY_C,2,,,,,,
___________cine_sa,2,,,,,,
B-TFE-PA-TRA,2,,,,,,
Late_Enh._korte_as,2,,,,,,
Heart_function_dynamic_tfl,2,,,,,,
tfi_single-shot_(2CHV)_260,2,,,,,,
MIPFallot_F,2,,,,,,
Late_Enh.__4_kamer,2,,,,,,
